smiles,log HLM(ml/min/kg)
Brc1cc2c(cc1Cn1cncn1)OCCCO2,0.886265059
Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,0.675686709
Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,0.857332496
Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,0.908485019
Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,2.081606511
Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,1.888409783
C#CCC(CCCNC(=O)OC)C(=O)OCCOc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc(NS(C)(=O)=O)c3C)cc2)cc1,2.840733235
C#CCC(CCCNC(=O)OC)C(=O)Oc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc(NS(C)(=O)=O)c3C)cc2)cc1,2.694605199
C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,0.897627091
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,0.414973348
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,0.414973348
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,0.675686709
C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,0.675686709
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,0.675686709
C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,0.675686709
C#CCNC(=O)CCc1c(C)nn(C)c1C,0.675686709
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,0.675686709
C#CCNC(=O)Cc1coc(-c2ccccc2)n1,1.430268606
C#CCNC(=O)Cc1coc2cc(OC)ccc12,1.188647296
C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,0.675686709
C#CCNC(=O)c1cc(C(C)C)nn1CC,0.675686709
C#CCNC(=O)c1ccc2c(c1)OCO2,1.145755624
C#CCOCC(C(=O)N1CC[C@@H]2C[C@@H]3CCC[C@H](NC(=O)[C@H](C)NC)C(=O)N3[C@@H]2C1)c1ccccc1,1.151523068
C#CCOc1ccc(C(=O)NN2CCCC2=O)cc1,0.675686709
C#CCOc1ccc(OC)cc1C(N)=O,1.139942023
C#CCn1c(=O)n(CC#N)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,0.954242509
C#CCn1c(=O)n(Cc2cc(C)no2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,1.811575006
C#CCn1c(=O)n(Cc2cnc(C)s2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,1.954242509
C#CCn1c(=O)n(Cc2cnn(C)c2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,1.5774918
C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,1.842771446
C#Cc1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,1.230704314
C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,0.857332496
C#Cc1ccc([C@H](C)NC(=O)N(C)C2CCN(C3CCc4cc(-c5cc(C)ncn5)ccc43)CC2)c(Cl)c1Cl,2.171989583
C#Cc1ccc2c(c1)-c1nc(C)ncc1Cc1c(C(=O)OCC)ncn1-2,3.857332496
C#Cc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,1.385606274
